requested_name,designation,window,window_start,window_stop_exclusive,sample_count,first_sample_date,last_sample_date,minimum_earth_relative_range_au,minimum_range_date,maximum_earth_relative_range_au,maximum_range_date,mean_earth_relative_range_au,median_earth_relative_range_au,start_range_au,end_range_au,range_change_au,minimum_range_rate_au_per_day,maximum_range_rate_au_per_day,mean_range_rate_au_per_day,source_center,source_ephemeris_type,source_vector_table,source_units,source_step,source_reference_system,source_reference_plane,signature_source,signature_version,source_url,sha256,captured_at,refresh_status,last_refresh_error,interpretation_limit,current_hardware_canon,mark_iv_state
Likho,785648,June 2027,2027-06-01,2027-07-01,30,2027-06-01,2027-06-30,1.079061619697629,2027-06-01,1.40302043716727,2027-06-30,1.2385524307402551,1.237212000932961,1.079061619697629,1.40302043716727,0.32395881746964106,0.0104540539526945,0.01155344372386844,0.011165222298717772,"Earth (399), geocentric 500@399",VECTORS,6,AU-D,1 day,ICRF,ECLIPTIC,NASA/JPL Horizons API,1.2,https://ssd.jpl.nasa.gov/api/horizons.api?format=json&COMMAND=%27785648%3B%27&OBJ_DATA=%27NO%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27VECTORS%27&CENTER=%27500%40399%27&START_TIME=%272027-06-01%27&STOP_TIME=%272028-09-01%27&STEP_SIZE=%271+d%27&TIME_TYPE=%27TDB%27&OUT_UNITS=%27AU-D%27&REF_SYSTEM=%27ICRF%27&REF_PLANE=%27ECLIPTIC%27&VEC_TABLE=%276%27&VEC_CORR=%27NONE%27&CSV_FORMAT=%27YES%27&VEC_LABELS=%27YES%27,15e0c73f38182a6878550127bf8a6b923ce442414364106f9ba5a220154d59e2,2026-07-23T06:42:24+00:00,CAPTURED_CURRENT,,"Descriptive Earth-relative range/time comparison only; not launch, delta-v, route, mining or target feasibility.",Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
Likho,785648,January 2028,2028-01-01,2028-02-01,31,2028-01-01,2028-01-31,2.486925270960502,2028-01-31,2.565672457066822,2028-01-01,2.5310784690455783,2.533707995836417,2.565672457066822,2.486925270960502,-0.07874718610632003,-0.003552125664152931,-0.001570446112891253,-0.002622780719301893,"Earth (399), geocentric 500@399",VECTORS,6,AU-D,1 day,ICRF,ECLIPTIC,NASA/JPL Horizons API,1.2,https://ssd.jpl.nasa.gov/api/horizons.api?format=json&COMMAND=%27785648%3B%27&OBJ_DATA=%27NO%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27VECTORS%27&CENTER=%27500%40399%27&START_TIME=%272027-06-01%27&STOP_TIME=%272028-09-01%27&STEP_SIZE=%271+d%27&TIME_TYPE=%27TDB%27&OUT_UNITS=%27AU-D%27&REF_SYSTEM=%27ICRF%27&REF_PLANE=%27ECLIPTIC%27&VEC_TABLE=%276%27&VEC_CORR=%27NONE%27&CSV_FORMAT=%27YES%27&VEC_LABELS=%27YES%27,15e0c73f38182a6878550127bf8a6b923ce442414364106f9ba5a220154d59e2,2026-07-23T06:42:24+00:00,CAPTURED_CURRENT,,"Descriptive Earth-relative range/time comparison only; not launch, delta-v, route, mining or target feasibility.",Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
Likho,785648,August 2028,2028-08-01,2028-09-01,31,2028-08-01,2028-08-31,2.054099993247912,2028-08-01,2.114589643563098,2028-08-31,2.083812913799359,2.08353103790177,2.054099993247912,2.114589643563098,0.06048965031518616,0.001804533886396799,0.002083258192189056,0.002013085170640277,"Earth (399), geocentric 500@399",VECTORS,6,AU-D,1 day,ICRF,ECLIPTIC,NASA/JPL Horizons API,1.2,https://ssd.jpl.nasa.gov/api/horizons.api?format=json&COMMAND=%27785648%3B%27&OBJ_DATA=%27NO%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27VECTORS%27&CENTER=%27500%40399%27&START_TIME=%272027-06-01%27&STOP_TIME=%272028-09-01%27&STEP_SIZE=%271+d%27&TIME_TYPE=%27TDB%27&OUT_UNITS=%27AU-D%27&REF_SYSTEM=%27ICRF%27&REF_PLANE=%27ECLIPTIC%27&VEC_TABLE=%276%27&VEC_CORR=%27NONE%27&CSV_FORMAT=%27YES%27&VEC_LABELS=%27YES%27,15e0c73f38182a6878550127bf8a6b923ce442414364106f9ba5a220154d59e2,2026-07-23T06:42:24+00:00,CAPTURED_CURRENT,,"Descriptive Earth-relative range/time comparison only; not launch, delta-v, route, mining or target feasibility.",Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
Ninkasi,4947,June 2027,2027-06-01,2027-07-01,30,2027-06-01,2027-06-30,2.154621861635363,2027-06-01,2.181951188314733,2027-06-30,2.166671031676403,2.1657644972465873,2.154621861635363,2.181951188314733,0.027329326679369714,0.0005934669638123662,0.001272546335907529,0.0009420613797423103,"Earth (399), geocentric 500@399",VECTORS,6,AU-D,1 day,ICRF,ECLIPTIC,NASA/JPL Horizons API,1.2,https://ssd.jpl.nasa.gov/api/horizons.api?format=json&COMMAND=%274947%3B%27&OBJ_DATA=%27NO%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27VECTORS%27&CENTER=%27500%40399%27&START_TIME=%272027-06-01%27&STOP_TIME=%272028-09-01%27&STEP_SIZE=%271+d%27&TIME_TYPE=%27TDB%27&OUT_UNITS=%27AU-D%27&REF_SYSTEM=%27ICRF%27&REF_PLANE=%27ECLIPTIC%27&VEC_TABLE=%276%27&VEC_CORR=%27NONE%27&CSV_FORMAT=%27YES%27&VEC_LABELS=%27YES%27,38c906660a896638395a0ff491eeafaa2468c97abd1045b158eacf8ba469f37c,2026-07-23T06:42:27+00:00,CAPTURED_CURRENT,,"Descriptive Earth-relative range/time comparison only; not launch, delta-v, route, mining or target feasibility.",Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
Ninkasi,4947,January 2028,2028-01-01,2028-02-01,31,2028-01-01,2028-01-31,1.807211832706396,2028-01-31,2.029127790766728,2028-01-01,1.922808311790072,1.925378305138739,2.029127790766728,1.807211832706396,-0.22191595806033204,-0.008311186022333952,-0.006400658365951827,-0.00739581555944828,"Earth (399), geocentric 500@399",VECTORS,6,AU-D,1 day,ICRF,ECLIPTIC,NASA/JPL Horizons API,1.2,https://ssd.jpl.nasa.gov/api/horizons.api?format=json&COMMAND=%274947%3B%27&OBJ_DATA=%27NO%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27VECTORS%27&CENTER=%27500%40399%27&START_TIME=%272027-06-01%27&STOP_TIME=%272028-09-01%27&STEP_SIZE=%271+d%27&TIME_TYPE=%27TDB%27&OUT_UNITS=%27AU-D%27&REF_SYSTEM=%27ICRF%27&REF_PLANE=%27ECLIPTIC%27&VEC_TABLE=%276%27&VEC_CORR=%27NONE%27&CSV_FORMAT=%27YES%27&VEC_LABELS=%27YES%27,38c906660a896638395a0ff491eeafaa2468c97abd1045b158eacf8ba469f37c,2026-07-23T06:42:27+00:00,CAPTURED_CURRENT,,"Descriptive Earth-relative range/time comparison only; not launch, delta-v, route, mining or target feasibility.",Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
Ninkasi,4947,August 2028,2028-08-01,2028-09-01,31,2028-08-01,2028-08-31,0.4997893627937429,2028-08-11,0.5084009656261119,2028-08-31,0.5022455145836419,0.5013904599995148,0.5024026712510421,0.5084009656261119,0.005998294375069824,-0.0005734807174934551,0.0007368218585700354,0.00019600097343239778,"Earth (399), geocentric 500@399",VECTORS,6,AU-D,1 day,ICRF,ECLIPTIC,NASA/JPL Horizons API,1.2,https://ssd.jpl.nasa.gov/api/horizons.api?format=json&COMMAND=%274947%3B%27&OBJ_DATA=%27NO%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27VECTORS%27&CENTER=%27500%40399%27&START_TIME=%272027-06-01%27&STOP_TIME=%272028-09-01%27&STEP_SIZE=%271+d%27&TIME_TYPE=%27TDB%27&OUT_UNITS=%27AU-D%27&REF_SYSTEM=%27ICRF%27&REF_PLANE=%27ECLIPTIC%27&VEC_TABLE=%276%27&VEC_CORR=%27NONE%27&CSV_FORMAT=%27YES%27&VEC_LABELS=%27YES%27,38c906660a896638395a0ff491eeafaa2468c97abd1045b158eacf8ba469f37c,2026-07-23T06:42:27+00:00,CAPTURED_CURRENT,,"Descriptive Earth-relative range/time comparison only; not launch, delta-v, route, mining or target feasibility.",Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
Pocahontas,4487,June 2027,2027-06-01,2027-07-01,30,2027-06-01,2027-06-30,2.160086853542784,2027-06-01,2.526439607001112,2027-06-30,2.3469495121386386,2.348995610847251,2.160086853542784,2.526439607001112,0.36635275345832774,0.01176083696098235,0.01332722885938854,0.012629782981504646,"Earth (399), geocentric 500@399",VECTORS,6,AU-D,1 day,ICRF,ECLIPTIC,NASA/JPL Horizons API,1.2,https://ssd.jpl.nasa.gov/api/horizons.api?format=json&COMMAND=%274487%3B%27&OBJ_DATA=%27NO%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27VECTORS%27&CENTER=%27500%40399%27&START_TIME=%272027-06-01%27&STOP_TIME=%272028-09-01%27&STEP_SIZE=%271+d%27&TIME_TYPE=%27TDB%27&OUT_UNITS=%27AU-D%27&REF_SYSTEM=%27ICRF%27&REF_PLANE=%27ECLIPTIC%27&VEC_TABLE=%276%27&VEC_CORR=%27NONE%27&CSV_FORMAT=%27YES%27&VEC_LABELS=%27YES%27,447d232d45bf47c7435fe7787bbe279975e05a48b27f4509590567208f7f8b50,2026-07-23T06:42:29+00:00,CAPTURED_CURRENT,,"Descriptive Earth-relative range/time comparison only; not launch, delta-v, route, mining or target feasibility.",Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
Pocahontas,4487,January 2028,2028-01-01,2028-02-01,31,2028-01-01,2028-01-31,2.458822174645663,2028-01-31,2.783384513410665,2028-01-01,2.626354561014493,2.629256305008683,2.783384513410665,2.458822174645663,-0.32456233876500207,-0.01181760296493259,-0.009648354974818215,-0.010815878581514655,"Earth (399), geocentric 500@399",VECTORS,6,AU-D,1 day,ICRF,ECLIPTIC,NASA/JPL Horizons API,1.2,https://ssd.jpl.nasa.gov/api/horizons.api?format=json&COMMAND=%274487%3B%27&OBJ_DATA=%27NO%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27VECTORS%27&CENTER=%27500%40399%27&START_TIME=%272027-06-01%27&STOP_TIME=%272028-09-01%27&STEP_SIZE=%271+d%27&TIME_TYPE=%27TDB%27&OUT_UNITS=%27AU-D%27&REF_SYSTEM=%27ICRF%27&REF_PLANE=%27ECLIPTIC%27&VEC_TABLE=%276%27&VEC_CORR=%27NONE%27&CSV_FORMAT=%27YES%27&VEC_LABELS=%27YES%27,447d232d45bf47c7435fe7787bbe279975e05a48b27f4509590567208f7f8b50,2026-07-23T06:42:29+00:00,CAPTURED_CURRENT,,"Descriptive Earth-relative range/time comparison only; not launch, delta-v, route, mining or target feasibility.",Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
Pocahontas,4487,August 2028,2028-08-01,2028-09-01,31,2028-08-01,2028-08-31,0.3680381432764907,2028-08-31,0.53501303236469,2028-08-01,0.44845617299631974,0.4467972612102937,0.53501303236469,0.3680381432764907,-0.1669748890881993,-0.006175828639537861,-0.004872429195315654,-0.0055644431249553886,"Earth (399), geocentric 500@399",VECTORS,6,AU-D,1 day,ICRF,ECLIPTIC,NASA/JPL Horizons API,1.2,https://ssd.jpl.nasa.gov/api/horizons.api?format=json&COMMAND=%274487%3B%27&OBJ_DATA=%27NO%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27VECTORS%27&CENTER=%27500%40399%27&START_TIME=%272027-06-01%27&STOP_TIME=%272028-09-01%27&STEP_SIZE=%271+d%27&TIME_TYPE=%27TDB%27&OUT_UNITS=%27AU-D%27&REF_SYSTEM=%27ICRF%27&REF_PLANE=%27ECLIPTIC%27&VEC_TABLE=%276%27&VEC_CORR=%27NONE%27&CSV_FORMAT=%27YES%27&VEC_LABELS=%27YES%27,447d232d45bf47c7435fe7787bbe279975e05a48b27f4509590567208f7f8b50,2026-07-23T06:42:29+00:00,CAPTURED_CURRENT,,"Descriptive Earth-relative range/time comparison only; not launch, delta-v, route, mining or target feasibility.",Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
Duende,367943,June 2027,2027-06-01,2027-07-01,30,2027-06-01,2027-06-30,0.8054091984237657,2027-06-01,0.9446208364401238,2027-06-30,0.8726071464216526,0.8712533209754407,0.8054091984237657,0.9446208364401238,0.13921163801635816,0.00423382540073423,0.00524058835895906,0.004798222915430559,"Earth (399), geocentric 500@399",VECTORS,6,AU-D,1 day,ICRF,ECLIPTIC,NASA/JPL Horizons API,1.2,https://ssd.jpl.nasa.gov/api/horizons.api?format=json&COMMAND=%27367943%3B%27&OBJ_DATA=%27NO%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27VECTORS%27&CENTER=%27500%40399%27&START_TIME=%272027-06-01%27&STOP_TIME=%272028-09-01%27&STEP_SIZE=%271+d%27&TIME_TYPE=%27TDB%27&OUT_UNITS=%27AU-D%27&REF_SYSTEM=%27ICRF%27&REF_PLANE=%27ECLIPTIC%27&VEC_TABLE=%276%27&VEC_CORR=%27NONE%27&CSV_FORMAT=%27YES%27&VEC_LABELS=%27YES%27,f78f1a64cfe4a37b7010cea85f220df0d09e2a6e49b88735f31ebe6c8d822ebc,2026-07-23T06:42:32+00:00,CAPTURED_CURRENT,,"Descriptive Earth-relative range/time comparison only; not launch, delta-v, route, mining or target feasibility.",Mark III + Mark V only,Post-mission successor/next model of Mark III; not current input
